I'll help you implement the necessary changes to add the `fill_value` parameter to `IterativeImputer`. Let's start by exploring the repository structure to understand how the code is organized.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(impute|iterative)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/impute/__init__.py
/testbed/sklearn/impute/tests/__init__.py
/testbed/sklearn/impute/tests/test_knn.py
/testbed/sklearn/impute/tests/test_common.py
/testbed/sklearn/impute/tests/test_impute.py
/testbed/sklearn/impute/tests/test_base.py
/testbed/sklearn/impute/_knn.py
/testbed/sklearn/impute/_base.py
/testbed/sklearn/impute/_iterative.py
/testbed/sklearn/experimental/tests/test_enable_iterative_imputer.py
/testbed/sklearn/experimental/enable_iterative_imputer.py
/testbed/examples/impute/plot_iterative_imputer_variants_comparison.py
/testbed/examples/impute/plot_missing_values.py</function_results>

Great! Let's look at the structure of the impute module:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/impute, excluding hidden items and node_modules:
179K	/testbed/sklearn/impute
Result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Should use default behavior (0 for numeric data)

Comparing initial imputation with SimpleImputer...
SimpleImputer result: [[ 1.  2.]
 [42.  3.]
 [ 7.  6.]]
IterativeImputer (max_iter=0) result: [[ 1.  2.]
 [42.  3.]
 [ 7.  6.]]
Initial imputations match: True</function_results>

Great! Our implementation is working. Let's run the existing tests to make sure we didn't break anything:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py::test_iterative_imputer -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 0 items

[33m============================ [33mno tests ran[0m[33m in 1.15s[0m[33m =============================[0m</output>
<error>ERROR: not found: /testbed/sklearn/impute/tests/test_impute.py::test_iterative_imputer
(no name '/testbed/sklearn/impute/tests/test_impute.py::test_iterative_imputer' in any of [<DoctestModule sklearn/impute/tests/test_impute.py>, <Module sklearn/impute/tests/test_impute.py>])
</error>
</function_results>

Let's find the correct test function name:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && grep -n "def test.*iterative" sklearn/impute/tests/test_impute.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>497:def test_iterative_imputer_one_feature(X):
570:def test_iterative_imputer_zero_iters():
594:def test_iterative_imputer_verbose():
608:def test_iterative_imputer_all_missing():
620:def test_iterative_imputer_imputation_order(imputation_order):
660:def test_iterative_imputer_estimators(estimator):
685:def test_iterative_imputer_clip():
701:def test_iterative_imputer_clip_truncnorm():
725:def test_iterative_imputer_truncated_normal_posterior():
759:def test_iterative_imputer_missing_at_transform(strategy):
781:def test_iterative_imputer_transform_stochasticity():
831:def test_iterative_imputer_no_missing():
845:def test_iterative_imputer_rank_one():
861:def test_iterative_imputer_transform_recovery(rank):
885:def test_iterative_imputer_additive_matrix():
911:def test_iterative_imputer_early_stopping():
941:def test_iterative_imputer_catch_warning():
981:def test_iterative_imputer_min_max_array_like(min_value, max_value, correct_output):
1007:def test_iterative_imputer_catch_min_max_error(min_value, max_value, err_msg):
1021:def test_iterative_imputer_min_max_array_like_imputation(min_max_1, min_max_2):
1046:def test_iterative_imputer_skip_non_missing(skip_complete):
1066:def test_iterative_imputer_dont_set_random_state(rs_imputer, rs_estimator):
1512:def test_iterative_imputer_keep_empty_features(initial_strategy):</function_results>

Let's run a few key tests:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py::test_iterative_imputer_one_feature -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 2 items

sklearn/impute/tests/test_impute.py::test_iterative_imputer_one_feature[X0] [32mPASSED[0m
sklearn/impute/tests/test_impute.py::test_iterative_imputer_one_feature[X1] [32mPASSED[0m

[32m============================== [32m[1m2 passed[0m[32m in 2.26s[0m[32m ===============================[0m</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py::test_iterative_imputer_zero_iters -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 1 item

sklearn/impute/tests/test_impute.py::test_iterative_imputer_zero_iters [32mPASSED[0m

[33m========================= [32m1 passed[0m, [33m[1m1 warning[0m[33m in 2.11s[0m[33m =========================[0m</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py::test_iterative_imputer_keep_empty_features -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 4 items

sklearn/impute/tests/test_impute.py::test_iterative_imputer_keep_empty_features[mean] [32mPASSED[0m
sklearn/impute/tests/test_impute.py::test_iterative_imputer_keep_empty_features[median] [32mPASSED[0m
sklearn/impute/tests/test_impute.py::test_iterative_imputer_keep_empty_features[most_frequent] [32mPASSED[0m
sklearn/impute/tests/test_impute.py::test_iterative_imputer_keep_empty_features[constant] [32mPASSED[0m

[32m============================== [32m[1m4 passed[0m[32m in 1.92s[0m[32m ===============================[0m</function_results>

Great! Now let's create a comprehensive test for our new feature:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_iterative_imputer_fill_value.py</antml:parameter>
<antml:parameter name="file_text">"""Test for the new fill_value parameter in IterativeImputer."""

import numpy as np
import pytest
from sklearn.experimental import enable_iterative_imputer
from sklearn.impute import IterativeImputer, SimpleImputer


def test_iterative_imputer_fill_value_parameter():
    """Test that IterativeImputer accepts fill_value parameter."""
    # Should not raise an error
    imputer = IterativeImputer(initial_strategy="constant", fill_value=42)
    assert imputer.fill_value == 42


def test_iterative_imputer_fill_value_numeric():
    """Test IterativeImputer with numeric fill_value."""
    X = np.array([[1, 2], [np.nan, 3], [7, 6]])
    
    # Test with custom fill_value
    imputer = IterativeImputer(
        initial_strategy="constant", 
        fill_value=42, 
        max_iter=0,  # Only test initial imputation
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # Compare with SimpleImputer to ensure consistency
    simple_imputer = SimpleImputer(strategy="constant", fill_value=42)
    X_simple = simple_imputer.fit_transform(X)
    
    np.testing.assert_array_equal(X_imputed, X_simple)


def test_iterative_imputer_fill_value_nan():
    """Test IterativeImputer with np.nan as fill_value."""
    X = np.array([[1, 2], [np.nan, 3], [7, 6]])
    
    # Test with np.nan fill_value (useful for decision trees)
    imputer = IterativeImputer(
        initial_strategy="constant", 
        fill_value=np.nan, 
        max_iter=0,  # Only test initial imputation
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # Compare with SimpleImputer
    simple_imputer = SimpleImputer(strategy="constant", fill_value=np.nan)
    X_simple = simple_imputer.fit_transform(X)
    
    np.testing.assert_array_equal(X_imputed, X_simple, equal_nan=True)


def test_iterative_imputer_fill_value_default():
    """Test IterativeImputer with default fill_value (None)."""
    X = np.array([[1, 2], [np.nan, 3], [7, 6]])
    
    # Test with default fill_value
    imputer = IterativeImputer(
        initial_strategy="constant", 
        max_iter=0,  # Only test initial imputation
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # Compare with SimpleImputer with default fill_value
    simple_imputer = SimpleImputer(strategy="constant")
    X_simple = simple_imputer.fit_transform(X)
    
    np.testing.assert_array_equal(X_imputed, X_simple)


def test_iterative_imputer_fill_value_with_iterations():
    """Test that fill_value works correctly with multiple iterations."""
    X = np.array([[1, 2, 3], [np.nan, 3, 4], [7, 6, np.nan]])
    
    # Test with custom fill_value and multiple iterations
    imputer = IterativeImputer(
        initial_strategy="constant", 
        fill_value=99, 
        max_iter=3,
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # The initial imputation should use fill_value=99, 
    # but subsequent iterations will refine the values
    assert X_imputed.shape == X.shape
    assert not np.isnan(X_imputed).any()


def test_iterative_imputer_fill_value_only_with_constant_strategy():
    """Test that fill_value is only relevant when initial_strategy='constant'."""
    X = np.array([[1, 2], [np.nan, 3], [7, 6]])
    
    # With mean strategy, fill_value should be ignored (no error)
    imputer = IterativeImputer(
        initial_strategy="mean", 
        fill_value=42,  # This should be ignored
        max_iter=0,
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # Compare with SimpleImputer with mean strategy
    simple_imputer = SimpleImputer(strategy="mean")
    X_simple = simple_imputer.fit_transform(X)
    
    np.testing.assert_array_equal(X_imputed, X_simple)


def test_iterative_imputer_keep_empty_features_with_fill_value():
    """Test that fill_value works with keep_empty_features=True."""
    # Create data with an entirely missing column
    X = np.array([[1, np.nan], [2, np.nan], [3, np.nan]])
    
    imputer = IterativeImputer(
        initial_strategy="constant",
        fill_value=99,
        keep_empty_features=True,
        max_iter=0,
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # The entirely missing column should be filled with fill_value
    expected = np.array([[1, 99], [2, 99], [3, 99]])
    np.testing.assert_array_equal(X_imputed, expected)


if __name__ == "__main__":
    test_iterative_imputer_fill_value_parameter()
    test_iterative_imputer_fill_value_numeric()
    test_iterative_imputer_fill_value_nan()
    test_iterative_imputer_fill_value_default()
    test_iterative_imputer_fill_value_with_iterations()
    test_iterative_imputer_fill_value_only_with_constant_strategy()
    test_iterative_imputer_keep_empty_features_with_fill_value()
    print("All tests passed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_iterative_imputer_fill_value.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_iterative_imputer_fill_value.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>Traceback (most recent call last):
  File "/testbed/test_iterative_imputer_fill_value.py", line 136, in <module>
    test_iterative_imputer_fill_value_nan()
  File "/testbed/test_iterative_imputer_fill_value.py", line 53, in test_iterative_imputer_fill_value_nan
    np.testing.assert_array_equal(X_imputed, X_simple, equal_nan=True)
TypeError: assert_array_equal() got an unexpected keyword argument 'equal_nan'</error>
</function_results>

Let's fix the test:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_iterative_imputer_fill_value.py</antml:parameter>
<antml:parameter name="old_str">    np.testing.assert_array_equal(X_imputed, X_simple, equal_nan=True)</antml:parameter>
<antml:parameter name="new_str">    # For NaN comparisons, we need to check manually
    assert X_imputed.shape == X_simple.shape
    assert np.isnan(X_imputed[1, 0]) and np.isnan(X_simple[1, 0])  # Both should have NaN at missing position
    # Check non-NaN values are equal
    mask = ~np.isnan(X_imputed)
    np.testing.assert_array_equal(X_imputed[mask], X_simple[mask])</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_iterative_imputer_fill_value.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_iterative_imputer_fill_value.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>All tests passed!</output>
<error>/testbed/sklearn/impute/_iterative.py:797: ConvergenceWarning: [IterativeImputer] Early stopping criterion not reached.
  warnings.warn(</error>
</function_results>

Great! The tests pass. The warning is expected for the test with multiple iterations. Now let's run the test with pytest:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest test_iterative_imputer_fill_value.py -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 7 items

test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_parameter [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_numeric [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_nan [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_default [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_with_iterations [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_fill_value_only_with_constant_strategy [32mPASSED[0m
test_iterative_imputer_fill_value.py::test_iterative_imputer_keep_empty_features_with_fill_value [32mPASSED[0m

[33m========================= [32m7 passed[0m, [33m[1m1 warning[0m[33m in 1.57s[0m[33m =========================[0m</function_results>

Excellent! Now let's run some more existing tests to make sure we didn't break anything:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py -k "iterative" --tb=short -q</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[33m                [100%][0m
[33m[32m57 passed[0m, [33m[1m159 deselected[0m, [33m[1m32 warnings[0m[33m in 148.78s (0:02:28)[0m[0m</function_results>

Perfect! All iterative imputer tests are passing. Let's also run a few more general impute tests:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_common.py --tb=short -q</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[32m.[0m[33m                                         [100%][0m
[33m[32m32 passed[0m, [33m[1m208 warnings[0m[33m in 2.22s[0m[0m</function_results>

Great! Now let's add a test to the existing test suite to ensure our feature is properly tested:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/tests/test_impute.py</antml:parameter>
<antml:parameter name="view_range">[1510, 1530]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/tests/test_impute.py with line numbers (which has a total of 1694 lines) with view_range=[1510, 1530]:
  1510	    "initial_strategy", ["mean", "median", "most_frequent", "constant"]
  1511	)
  1512	def test_iterative_imputer_keep_empty_features(initial_strategy):
  1513	    """Check the behaviour of the iterative imputer with different initial strategy
  1514	    and keeping empty features (i.e. features containing only missing values).
  1515	    """
  1516	    X = np.array([[1, np.nan, 2], [3, np.nan, np.nan]])
  1517	
  1518	    imputer = IterativeImputer(
  1519	        initial_strategy=initial_strategy, keep_empty_features=True
  1520	    )
  1521	    X_imputed = imputer.fit_transform(X)
  1522	    assert_allclose(X_imputed[:, 1], 0)
  1523	    X_imputed = imputer.transform(X)
  1524	    assert_allclose(X_imputed[:, 1], 0)
  1525	
  1526	
  1527	@pytest.mark.parametrize("keep_empty_features", [True, False])
  1528	def test_knn_imputer_keep_empty_features(keep_empty_features):
  1529	    """Check the behaviour of `keep_empty_features` for `KNNImputer`."""
  1530	    X = np.array([[1, np.nan, 2], [3, np.nan, np.nan]])
</function_results>

Let's add our test after the existing iterative imputer tests:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/tests/test_impute.py</antml:parameter>
<antml:parameter name="old_str">@pytest.mark.parametrize("keep_empty_features", [True, False])
def test_knn_imputer_keep_empty_features(keep_empty_features):</antml:parameter>
<antml:parameter name="new_str">def test_iterative_imputer_fill_value():
    """Test that IterativeImputer accepts and uses fill_value parameter correctly."""
    X = np.array([[1, 2], [np.nan, 3], [7, 6]])
    
    # Test with custom fill_value
    imputer = IterativeImputer(
        initial_strategy="constant", 
        fill_value=42, 
        max_iter=0,  # Only test initial imputation
        random_state=42
    )
    X_imputed = imputer.fit_transform(X)
    
    # Compare with SimpleImputer to ensure consistency
    simple_imputer = SimpleImputer(strategy="constant", fill_value=42)
    X_simple = simple_imputer.fit_transform(X)
    
    assert_allclose(X_imputed, X_simple)
    
    # Test with np.nan fill_value (useful for decision trees)
    imputer_nan = IterativeImputer(
        initial_strategy="constant", 
        fill_value=np.nan, 
        max_iter=0,
        random_state=42
    )
    X_imputed_nan = imputer_nan.fit_transform(X)
    
    # The missing value should remain NaN
    assert np.isnan(X_imputed_nan[1, 0])
    
    # Test with keep_empty_features and fill_value
    X_empty = np.array([[1, np.nan], [2, np.nan], [3, np.nan]])
    imputer_empty = IterativeImputer(
        initial_strategy="constant",
        fill_value=99,
        keep_empty_features=True,
        max_iter=0,
        random_state=42
    )
    X_imputed_empty = imputer_empty.fit_transform(X_empty)
    expected = np.array([[1, 99], [2, 99], [3, 99]])
    assert_allclose(X_imputed_empty, expected)


@pytest.mark.parametrize("keep_empty_features", [True, False])
def test_knn_imputer_keep_empty_features(keep_empty_features):</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/tests/test_impute.py has been edited successfully.</function_results>

Now let's run the new test to make sure it works:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python -m pytest sklearn/impute/tests/test_impute.py::test_iterative_imputer_fill_value -xvs</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>[1m============================= test session starts ==============================[0m
platform linux -- Python 3.9.19, pytest-7.4.4, pluggy-1.0.0 -- /opt/miniconda3/envs/testbed/bin/python
cachedir: .pytest_cache
rootdir: /testbed
configfile: setup.cfg
[1mcollecting ... [0mcollected 1 item

sklearn/impute/tests/test_impute.py::test_iterative_imputer_fill_value [32mPASSED[0m

[32m============================== [32m[1m1 passed[0m[32m in 1.94s[0m[32m ===============================[0m</function_results>

Perfect! Now let's test the docstring examples to make sure they work:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_docstring_examples.py</antml:parameter>
<antml:parameter name="file_text">"""Test the examples from the docstring."""

import numpy as np
from sklearn.experimental import enable_iterative_imputer
from sklearn.impute import IterativeImputer

# Test the existing docstring example still works
print("Testing existing docstring example...")
imp_mean = IterativeImputer(random_state=0)
imp_mean.fit([[7, 2, 3], [4, np.nan, 6], [10, 5, 9]])
X = [[np.nan, 2, 3], [4, np.nan, 6], [10, np.nan, 9]]
result = imp_mean.transform(X)
print(f"Result: {result}")
print()

# Test new fill_value functionality
print("Testing new fill_value functionality...")
imp_constant = IterativeImputer(initial_strategy="constant", fill_value=42, random_state=0)
imp_constant.fit([[7, 2, 3], [4, np.nan, 6], [10, 5, 9]])
result_constant = imp_constant.transform(X)
print(f"Result with fill_value=42: {result_constant}")
print()

# Test with np.nan fill_value
print("Testing with np.nan fill_value...")
imp_nan = IterativeImputer(initial_strategy="constant", fill_value=np.nan, random_state=0)
imp_nan.fit([[7, 2, 3], [4, np.nan, 6], [10, 5, 9]])
result_nan = imp_nan.transform(X)
print(f"Result with fill_value=np.nan: {result_nan}")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_docstring_examples.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_docstring_examples.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing existing docstring example...
Result: [[ 6.95847623  2.          3.        ]
 [ 4.          2.6000004   6.        ]
 [10.          4.99999933  9.        ]]

Testing new fill_value functionality...
Result with fill_value=42: [[ 6.95847623  2.          3.        ]
 [ 4.          2.6000004   6.        ]
 [10.          4.99999933  9.        ]]

Testing with np.nan fill_value...
Result with fill_value=np.nan: [[nan  2.  3.]
 [ 4. nan  6.]
 [10. nan  9.]]</function_results>

Perfect! The functionality works as expected. Let's also test edge cases and error conditions:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_edge_cases.py</antml:parameter>
<antml:parameter name="file_text">"""Test edge cases for the fill_value parameter."""

import numpy as np
from sklearn.experimental import enable_iterative_imputer
from sklearn.impute import IterativeImputer

# Test that fill_value is ignored when initial_strategy is not 'constant'
print("Testing that fill_value is ignored when initial_strategy != 'constant'...")
X = np.array([[1, 2], [np.nan, 3], [7, 6]])

imputer_mean = IterativeImputer(
    initial_strategy="mean", 
    fill_value=999,  # This should be ignored
    max_iter=0,
    random_state=42
)
result_mean = imputer_mean.fit_transform(X)

imputer_mean_no_fill = IterativeImputer(
    initial_strategy="mean", 
    max_iter=0,
    random_state=42
)
result_mean_no_fill = imputer_mean_no_fill.fit_transform(X)

print(f"With fill_value=999 (ignored): {result_mean}")
print(f"Without fill_value: {result_mean_no_fill}")
print(f"Results are equal: {np.allclose(result_mean, result_mean_no_fill)}")
print()

# Test various fill_value types
print("Testing various fill_value types...")

# Integer
imputer_int = IterativeImputer(initial_strategy="constant", fill_value=5, max_iter=0)
result_int = imputer_int.fit_transform(X)
print(f"Integer fill_value=5: {result_int[1, 0]}")

# Float
imputer_float = IterativeImputer(initial_strategy="constant", fill_value=5.5, max_iter=0)
result_float = imputer_float.fit_transform(X)
print(f"Float fill_value=5.5: {result_float[1, 0]}")

# Negative value
imputer_neg = IterativeImputer(initial_strategy="constant", fill_value=-10, max_iter=0)
result_neg = imputer_neg.fit_transform(X)
print(f"Negative fill_value=-10: {result_neg[1, 0]}")

# Zero
imputer_zero = IterativeImputer(initial_strategy="constant", fill_value=0, max_iter=0)
result_zero = imputer_zero.fit_transform(X)
print(f"Zero fill_value=0: {result_zero[1, 0]}")

print()

# Test parameter validation
print("Testing parameter validation...")
try:
    # This should work fine - any value is allowed for fill_value
    imputer = IterativeImputer(initial_strategy="constant", fill_value="string_value")
    print("String fill_value accepted (but will fail on numeric data)")
except Exception as e:
    print(f"Error: {e}")

# Test that the imputer object stores the fill_value correctly
imputer = IterativeImputer(initial_strategy="constant", fill_value=123)
print(f"Stored fill_value: {imputer.fill_value}")

print("\nAll edge case tests completed!")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_edge_cases.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_edge_cases.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing that fill_value is ignored when initial_strategy != 'constant'...
With fill_value=999 (ignored): [[1. 2.]
 [4. 3.]
 [7. 6.]]
Without fill_value: [[1. 2.]
 [4. 3.]
 [7. 6.]]
Results are equal: True

Testing various fill_value types...
Integer fill_value=5: 5.0
Float fill_value=5.5: 5.5
Negative fill_value=-10: -10.0
Zero fill_value=0: 0.0

Testing parameter validation...
String fill_value accepted (but will fail on numeric data)
Stored fill_value: 123

All edge case tests completed!</function_results>

Excellent! Now let's run a final comprehensive test to make sure everything works together:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_fill_value_reproduction.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing SimpleImputer with fill_value...
SimpleImputer result: [[ 1.  2.]
 [42.  3.]
 [ 7.  6.]]
Expected: [[1, 2], [42, 3], [7, 6]]

Testing IterativeImputer with initial_strategy='constant'...
ERROR: IterativeImputer accepted fill_value parameter (it shouldn't yet)
Testing IterativeImputer current behavior...
IterativeImputer result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Note: This uses default fill_value (0 for numeric data)</function_results>

Great! Our implementation is working. The test shows that IterativeImputer now accepts the `fill_value` parameter, which is exactly what we wanted.

Let's update our reproduction test to show the successful implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_fill_value_reproduction.py</antml:parameter>
<antml:parameter name="old_str"># Test that IterativeImputer doesn't have fill_value parameter
print("Testing IterativeImputer with initial_strategy='constant'...")
try:
    # This should fail because fill_value is not a parameter
    iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42)
    print("ERROR: IterativeImputer accepted fill_value parameter (it shouldn't yet)")
except TypeError as e:
    print(f"Expected error: {e}")
    print()</antml:parameter>
<antml:parameter name="new_str"># Test that IterativeImputer now has fill_value parameter
print("Testing IterativeImputer with initial_strategy='constant'...")
try:
    # This should now work because we added the fill_value parameter
    iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42)
    print("SUCCESS: IterativeImputer now accepts fill_value parameter")
except TypeError as e:
    print(f"Error: {e}")
    print()</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_fill_value_reproduction.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_fill_value_reproduction.py</antml:parameter>
<antml:parameter name="old_str"># Test current behavior without fill_value
print("Testing IterativeImputer current behavior...")
iterative_imputer = IterativeImputer(initial_strategy="constant", random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
print(f"IterativeImputer result: {X_imputed}")
print("Note: This uses default fill_value (0 for numeric data)")</antml:parameter>
<antml:parameter name="new_str"># Test new behavior with fill_value
print("Testing IterativeImputer with custom fill_value...")
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42, max_iter=0, random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
